Classification,Year,Month,Province,City,Total AUOM Masked
Marine Paints,2022,8,"NCR, THIRD DISTRICT (Not a Province)",CALOOCAN CITY," 1,440 "
Marine Paints,2022,10,"NCR, FOURTH DISTRICT (Not a Province)",CITY OF LAS PIÑAS," 1,440 "
Marine Paints,2023,10,CEBU,CEBU CITY," 1,440 "
Marine Paints,2023,12,SOUTH COTABATO,GENERA SANTOS CITY," 1,440 "
Marine Paints,2023,12,LAGUNA,CITY OF BIÑAN," 1,425 "
Marine Paints,2022,5,"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MAKATI," 1,380 "
Marine Paints,2023,4,"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Provinc",SANTA ANA," 1,365 "
Marine Paints,2023,9,BULACAN,CITY OF MALOLOS (CAPITAL)," 1,350 "
Marine Paints,2022,4,MISAMIS ORIENTAL,SUGBONGCOGON," 1,320 "
Marine Paints,2023,4,CAVITE,ROSARIO," 1,320 "
Marine Paints,2023,4,PAMPANGA,SAN SIMON," 1,320 "
Marine Paints,2023,8,ZAMBALES,SUBIC," 1,320 "
Marine Paints,2023,9,BULACAN,BALIUAG," 1,320 "
Marine Paints,2022,10,CAVITE,SILANG," 1,320 "
Marine Paints,2022,10,"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Provinc",ERMITA," 1,320 "
Marine Paints,2023,12,"NCR, FOURTH DISTRICT (Not a Province)",CITY OF PARAÑAQUE," 1,320 "
Marine Paints,2023,12,"NCR, SECOND DISTRICT (NOT A PROVINCE)",CITY OF MARIKINA," 1,320 "
Marine Paints,2022,7,GENERAL SANTOS CITY,SOUTH COTABATO," 1,260 "
Marine Paints,2023,12,BATANGAS,LIPA CITY," 1,260 "
Marine Paints,2022,1,CEBU,MANDAUE CITY," 1,200 "
Marine Paints,2023,2,"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Provinc",PACO," 1,200 "
Marine Paints,2022,3,BULACAN,ANGAT," 1,200 "
Marine Paints,2023,3,"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Provinc",MALATE," 1,200 "
Marine Paints,2022,4,CAVITE,CITY OF DASMARIÑAS," 1,200 "
Marine Paints,2022,5,CAVITE,ROSARIO," 1,200 "
Marine Paints,2023,5,PAMPANGA,SAN SIMON," 1,200 "
Marine Paints,2023,6,BATANGAS,SANTO TOMAS," 1,200 "
Marine Paints,2023,6,LAGUNA,CITY OF BIÑAN," 1,200 "
Marine Paints,2022,8,MISAMIS ORIENTAL,CAGAYAN DE ORO CITY (Capital)," 1,200 "
Marine Paints,2022,8,"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MAKATI," 1,200 "
Marine Paints,2023,8,"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Provinc",PACO," 1,200 "
Marine Paints,2023,9,BATANGAS,CITY OF TANAUAN," 1,200 "
Marine Paints,2022,10,SOUTH COTABATO,GENERAL SANTO CITY," 1,200 "
Marine Paints,2022,11,MISAMIS ORIENTAL,SUGBONGCOGON," 1,200 "
Marine Paints,2023,12,"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Provinc",ERMITA," 1,200 "
Marine Paints,2022,1,MISAMIS ORIENTAL,CAGAYAN DE ORO CITY (Capital)," 1,140 "
Marine Paints,2023,3,"NCR, SECOND DISTRICT (NOT A PROVINCE)",CITY OF SAN JUAN," 1,140 "
Marine Paints,2023,5,CAVITE,ROSARIO," 1,140 "
Marine Paints,2022,10,PAMPANGA,MABALACAT CITY," 1,140 "
Marine Paints,2023,2,RIZAL,ANGONO," 1,080 "
Marine Paints,2022,11,"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Provinc",PACO," 1,080 "
Marine Paints,2023,12,CAVITE,BACOOR CITY," 1,080 "
Marine Paints,2023,2,BATANGAS,BAUAN," 1,020 "
Marine Paints,2022,12,"NCR, FOURTH DISTRICT (Not a Province)",PASAY CITY," 1,020 "
Marine Paints,2022,2,BULACAN,SANTA MARIA, 960 
Marine Paints,2023,6,"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Provinc",MALATE, 960 
Marine Paints,2023,7,"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Provinc",SANTA ANA, 960 
Marine Paints,2023,7,SOUTH COTAABTO,GENERAL SANTOS CITY, 960 
Marine Paints,2023,9,BATANGAS,LIPA CITY, 960 
Marine Paints,2023,9,CAVITE,SILANG, 960 
Marine Paints,2022,11,"NCR, FOURTH DISTRICT (Not a Province)",CITY OF PARAÑAQUE, 960 
Marine Paints,2023,3,"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Provinc",PORT AREA, 930 
Marine Paints,2023,6,PAMPANGA,APALIT, 915 
Marine Paints,2022,1,CEBU,CARMEN, 900 
Marine Paints,2023,2,PAMPANGA,MABALACAT CITY, 900 
Marine Paints,2022,4,MISAMIS ORIENTAL,CAGAYAN DE ORO CITY (Capital), 900 
Marine Paints,2022,7,PAMPANGA,CITY OF SAN FERNANDO (Capital), 900 
Marine Paints,2022,8,"NCR, FOURTH DISTRICT (Not a Province)",PASAY CITY, 900 
Marine Paints,2023,8,"NCR, FOURTH DISTRICT (Not a Province)",PASAY CITY, 900 
Marine Paints,2022,9,CAVITE,CARMONA, 900 
Marine Paints,2023,9,CEBU,CITY OF TALISAY, 900 
Marine Paints,2022,12,LAGUNA,CITY OF BIÑAN, 900 
Marine Paints,2023,12,"NCR, FOURTH DISTRICT (Not a Province)",TAGUIG CITY, 900 
Marine Paints,2023,2,CAVITE,TRECE MARTIRES CITY (Capital), 840 
Marine Paints,2023,2,"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Provinc",SANTA ANA, 840 
Marine Paints,2023,3,"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MAKATI, 780 
Marine Paints,2022,5,BATANGAS,SANTO TOMAS, 780 
Marine Paints,2022,6,"NCR, FOURTH DISTRICT (Not a Province)",TAGUIG CITY, 780 
Marine Paints,2023,6,BATANGAS,LIPA CITY, 780 
Marine Paints,2022,9,"NCR, FOURTH DISTRICT (Not a Province)",CITY OF PARAÑAQUE, 780 
Marine Paints,2023,12,BATANGAS,CITY OF TANAUAN, 780 
Marine Paints,2022,1,CAVITE,CARMONA, 720 
Marine Paints,2023,2,MISAMIS ORIENTAL,CAGAYAN DE ORO CITY (Capital), 720 
Marine Paints,2023,2,"NCR, FOURTH DISTRICT (Not a Province)",CITY OF LAS PIÑAS, 720 
Marine Paints,2023,2,PAMPANGA,SAN SIMON, 720 
Marine Paints,2022,6,CAGAYAN,RIZAL, 720 
Marine Paints,2022,6,CEBU,DANAO CITY, 720 
Marine Paints,2023,6,CAVITE,SILANG, 720 
Marine Paints,2023,6,PAMPANGA,SAN SIMON, 720 
Marine Paints,2023,6,RIZAL,CITY OF ANTIPOLO, 720 
Marine Paints,2022,7,"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Provinc",BINONDO, 720 
Marine Paints,2022,8,RIZAL,CAINTA, 720 
Marine Paints,2023,8,LAGUNA,CITY OF SANTA ROSA, 720 
Marine Paints,2022,9,"NCR, FOURTH DISTRICT (Not a Province)",CITY OF LAS PIÑAS, 720 
Marine Paints,2022,9,"NCR, SECOND DISTRICT (NOT A PROVINCE)",CITY OF SAN JUAN, 720 
Marine Paints,2023,9,BULACAN,SANTA MARIA, 720 
Marine Paints,2023,9,"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Provinc",ERMITA, 720 
Marine Paints,2022,10,CEBU,DANAO CITY, 720 
Marine Paints,2022,12,BATANGAS,SANTO TOMAS, 720 
Marine Paints,2023,12,"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Provinc",PACO, 720 
Marine Paints,2022,7,CAVITE,TRECE MARTIRES CITY (Capital), 705 
Marine Paints,2023,11,"NCR, FOURTH DISTRICT (Not a Province)",TAGUIG CITY, 690 
Marine Paints,2022,2,CAVITE,BACOOR CITY, 660 
Marine Paints,2023,2,LAGUNA,CITY OF BIÑAN, 660 
Marine Paints,2023,2,"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Provinc",PORT AREA, 660 
Marine Paints,2022,5,BATANGAS,MABINI, 660 
Marine Paints,2023,5,"NCR, SECOND DISTRICT (NOT A PROVINCE)",CITY OF SAN JUAN, 660 
Marine Paints,2022,6,"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Provinc",PORT AREA, 660 
Marine Paints,2023,6,BATANGAS,NASUGBU, 660 
Marine Paints,2023,8,"NCR, FOURTH DISTRICT (Not a Province)",CITY OF PARAÑAQUE, 660 
Marine Paints,2023,11,RIZAL,BINANGONAN, 660 
Marine Paints,2022,3,"NCR, FOURTH DISTRICT (Not a Province)",TAGUIG CITY, 600 
Marine Paints,2022,3,"NCR, FOURTH DISTRICT (Not a Province)",CITY OF PARAÑAQUE, 600 
Marine Paints,2023,3,"NCR, FOURTH DISTRICT (Not a Province)",TAGUIG CITY, 600 
Marine Paints,2022,5,PAMPANGA,CITY OF SAN FERNANDO (Capital), 600 
Marine Paints,2022,6,PAMPANGA,MABALACAT CITY, 600 
Marine Paints,2023,6,"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Provinc",BINONDO, 600 
Marine Paints,2023,6,"NCR, FOURTH DISTRICT (Not a Province)",TAGUIG CITY, 600 
Marine Paints,2023,6,"NCR, SECOND DISTRICT (NOT A PROVINCE)",CITY OF SAN JUAN, 600 
Marine Paints,2023,7,BULACAN,CITY OF MALOLOS (CAPITAL), 600 
Marine Paints,2023,7,"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Provinc",MALATE, 600 
Marine Paints,2022,9,"NCR, FOURTH DISTRICT (Not a Province)",TAGUIG CITY, 600 
Marine Paints,2023,9,BATANGAS,CALACA, 600 
Marine Paints,2023,9,BULACAN,BALAGTAS (BIGAA), 600 
Marine Paints,2023,9,"NCR, FOURTH DISTRICT (Not a Province)",TAGUIG CITY, 600 
Marine Paints,2022,11,"NCR, FOURTH DISTRICT (Not a Province)",TAGUIG CITY, 600 
Marine Paints,2022,11,"NCR, FOURTH DISTRICT (Not a Province)",PASAY CITY, 600 
Marine Paints,2022,12,BATANGAS,BATANGAS CITY (Capital), 600 
Marine Paints,2023,12,RIZAL,CITY OF ANTIPOLO, 600 
Marine Paints,2022,2,MISAMIS ORIENTAL,CAGAYAN DE ORO CITY (Capital), 540 
Marine Paints,2023,8,CEBU,CARMEN, 540 
Marine Paints,2023,9,CEBU,DANAO CITY, 540 
Marine Paints,2022,2,"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Provinc",SANTA ANA, 480 
Marine Paints,2023,2,CAVITE,CARMONA, 480 
Marine Paints,2022,3,BULACAN,CITY OF MALOLOS (CAPITAL), 480 
Marine Paints,2023,3,CAVITE,ALFONSO, 480 
Marine Paints,2023,3,"NCR, SECOND DISTRICT (NOT A PROVINCE)",CITY OF MANDALUYONG, 480 
Marine Paints,2022,4,"NCR, FOURTH DISTRICT (Not a Province)",TAGUIG CITY, 480 
Marine Paints,2023,4,"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Provinc",ERMITA, 480 
Marine Paints,2023,5,LAGUNA,CITY OF BIÑAN, 480 
Marine Paints,2023,6,PAMPANGA,MABALACAT CITY, 480 
Marine Paints,2022,7,"NCR, FOURTH DISTRICT (Not a Province)",CITY OF LAS PIÑAS, 480 
Marine Paints,2023,7,"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Provinc",INTRAMUROS, 480 
Marine Paints,2023,7,PAMPANGA,SAN SIMON, 480 
Marine Paints,2022,8,"NCR, FOURTH DISTRICT (Not a Province)",CITY OF LAS PIÑAS, 480 
Marine Paints,2023,8,QUEZON,PAGBILAO, 480 
Marine Paints,2023,9,PAMPANGA,ANGELES CITY, 480 
Marine Paints,2022,10,CAVITE,TRECE MARTIRES CITY (Capital), 480 
Marine Paints,2022,10,"NCR, FOURTH DISTRICT (Not a Province)",TAGUIG CITY, 480 
Marine Paints,2022,10,"NCR, FOURTH DISTRICT (Not a Province)",CITY OF PARAÑAQUE, 480 
Marine Paints,2022,12,RIZAL,CITY OF ANTIPOLO, 480 
Marine Paints,2023,2,SOUTH COTABATO,GENERAL SANTOS CIT, 420 
Marine Paints,2023,4,"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MAKATI, 420 
Marine Paints,2022,12,"NCR, FOURTH DISTRICT (Not a Province)",CITY OF PARAÑAQUE, 420 
Marine Paints,2023,9,SOUTH COTABSTO,GENERAL SANTOS CITY, 390 
Marine Paints,2022,2,LAGUNA,CITY OF BIÑAN, 360 
Marine Paints,2022,2,PAMPANGA,MABALACAT CITY, 360 
Marine Paints,2023,2,SOUTH COTAABTO,GENERAL SANTOS CITY, 360 
Marine Paints,2023,5,"NCR, FOURTH DISTRICT (Not a Province)",CITY OF PARAÑAQUE, 360 
Marine Paints,2022,6,BULACAN,SANTA MARIA, 360 
Marine Paints,2022,7,"NCR, SECOND DISTRICT (NOT A PROVINCE)",CITY OF SAN JUAN, 360 
Marine Paints,2022,9,PAMPANGA,SAN SIMON, 360 
Marine Paints,2022,9,PAMPANGA,CITY OF SAN FERNANDO (Capital), 360 
Marine Paints,2023,9,"NCR, FOURTH DISTRICT (Not a Province)",CITY OF LAS PIÑAS, 360 
Marine Paints,2022,11,PAMPANGA,SAN SIMON, 360 
Marine Paints,2023,11,LAGUNA,SANTA CRUZ (Capital), 360 
Marine Paints,2022,1,CAVITE,ROSARIO, 300 
Marine Paints,2022,3,CAVITE,CARMONA, 300 
Marine Paints,2023,3,CAVITE,TRECE MARTIRES CITY (Capital), 300 
Marine Paints,2023,3,"NCR, FOURTH DISTRICT (Not a Province)",CITY OF LAS PIÑAS, 300 
Marine Paints,2022,4,BATANGAS,PADRE GARCIA, 300 
Marine Paints,2022,5,CAVITE,TRECE MARTIRES CITY (Capital), 300 
Marine Paints,2023,5,CAVITE,TRECE MARTIRES CITY (Capital), 300 
Marine Paints,2023,6,CAVITE,TRECE MARTIRES CITY (Capital), 300 
Marine Paints,2023,7,NEGROS ORIENTAL,SIATON, 300 
Marine Paints,2022,8,BULACAN,SANTA MARIA, 300 
Marine Paints,2023,8,"NCR, FOURTH DISTRICT (Not a Province)",TAGUIG CITY, 300 
Marine Paints,2023,8,RIZAL,CITY OF ANTIPOLO, 300 
Marine Paints,2023,9,PAMPANGA,APALIT, 300 
Marine Paints,2023,10,"NCR, FOURTH DISTRICT (Not a Province)",PASAY CITY, 300 
Marine Paints,2022,12,"NCR, SECOND DISTRICT (NOT A PROVINCE)",CITY OF MANDALUYONG, 300 
Marine Paints,2022,1,"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Provinc",PORT AREA, 240 
Marine Paints,2022,2,SOUTH COTRABATO,GENERAL SANTOS CITY, 240 
Marine Paints,2022,3,"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MAKATI, 240 
Marine Paints,2023,3,"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Provinc",BINONDO, 240 
Marine Paints,2023,3,PAMPANGA,SAN SIMON, 240 
Marine Paints,2023,3,RIZAL,TAYTAY, 240 
Marine Paints,2023,3,RIZAL,CITY OF ANTIPOLO, 240 
Marine Paints,2022,4,"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Provinc",PACO, 240 
Marine Paints,2023,4,BATANGAS,BAUAN, 240 
Marine Paints,2023,6,PAMPANGA,CITY OF SAN FERNANDO (Capital), 240 
Marine Paints,2022,7,"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MAKATI, 240 
Marine Paints,2022,8,MISAMIS ORIENTAL,GINGOOG CITY, 240 
Marine Paints,2023,8,CAVITE,IMUS CITY, 240 
Marine Paints,2022,9,BULACAN,SANTA MARIA, 240 
Marine Paints,2022,9,"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Provinc",PACO, 240 
Marine Paints,2023,9,BATANGAS,BATANGAS CITY (Capital), 240 
Marine Paints,2023,10,"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Provinc",ERMITA, 240 
Marine Paints,2022,11,CEBU,DANAO CITY, 240 
Marine Paints,2022,11,"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Provinc",ERMITA, 240 
Marine Paints,2023,11,SOUTH COTABATO,GENERAL SANTOS COTABATO, 240 
Marine Paints,2022,12,ILOILO,ILOILO, 240 
Marine Paints,2022,12,"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Provinc",PORT AREA, 240 
Marine Paints,2023,12,CAVITE,CITY OF DASMARIÑAS, 240 
Marine Paints,2023,9,"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Provinc",MALATE, 225 
Marine Paints,2023,9,SOUTH COTABATO,GENREAL SANTOS CITY, 225 
Marine Paints,2023,2,"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MAKATI, 180 
Marine Paints,2022,3,LAGUNA,CITY OF BIÑAN, 180 
Marine Paints,2022,4,"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Provinc",INTRAMUROS, 180 
Marine Paints,2022,5,"NCR, SECOND DISTRICT (NOT A PROVINCE)",? CITY OF PASIG, 180 
Marine Paints,2022,7,ILOILO,ILOILO CITY (Capital), 180 
Marine Paints,2023,7,CAVITE,CARMONA, 180 
Marine Paints,2023,10,BATANGAS,CITY OF TANAUAN, 180 
Marine Paints,2023,10,BULACAN,BALIUAG, 180 
Marine Paints,2023,11,RIZAL,TAYTAY, 180 
Marine Paints,2023,12,BULACAN,GUIGUINTO, 180 
Marine Paints,2022,2,"NCR, SECOND DISTRICT (NOT A PROVINCE)",CITY OF SAN JUAN, 120 
Marine Paints,2022,3,BATANGAS,LIPA CITY, 120 
Marine Paints,2023,4,LAGUNA,CITY OF BIÑAN, 120 
Marine Paints,2022,5,BATANGAS,LIPA CITY, 120 
Marine Paints,2022,6,MISAMIS ORIENTAL,GITAGUM, 120 
Marine Paints,2022,7,BULACAN,GUIGUINTO, 120 
Marine Paints,2022,7,"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Provinc",PORT AREA, 120 
Marine Paints,2022,11,RIZAL,CAINTA, 120 
Marine Paints,2022,9,RIZAL,CITY OF ANTIPOLO, 60 
Marine Paints,2022,12,ILOILO,ILOILO CTY, 60 
